id,created_at,partner_id,city_id,year,number_diapers,number_children,percentage,month,changed
12835,2026-04-12 16:09:23.738529+00,9,13,2025,1464,,1,August,false
12836,2026-04-12 16:09:23.738529+00,9,13,2025,1595,,1,September,false
12837,2026-04-12 16:09:23.738529+00,9,13,2025,1073,,1,October,false
12838,2026-04-12 16:09:23.738529+00,9,13,2025,764,,1,November,false
12839,2026-04-12 16:09:23.738529+00,9,13,2025,1930,,1,December,false
12840,2026-04-12 16:09:23.738529+00,4,4,2025,3174,,0.99,January,false
12841,2026-04-12 16:09:23.738529+00,4,18,2025,32,,0.01,January,false
12842,2026-04-12 16:09:23.738529+00,4,4,2025,3596,,0.99,February,false
12843,2026-04-12 16:09:23.738529+00,4,18,2025,36,,0.01,February,false
12844,2026-04-12 16:09:23.738529+00,4,4,2025,2693,,0.99,March,false
12845,2026-04-12 16:09:23.738529+00,4,18,2025,27,,0.01,March,false
12846,2026-04-12 16:09:23.738529+00,4,4,2025,5069,,0.99,April,false
12847,2026-04-12 16:09:23.738529+00,4,18,2025,51,,0.01,April,false
12848,2026-04-12 16:09:23.738529+00,4,4,2025,2660,,0.99,May,false
12849,2026-04-12 16:09:23.738529+00,4,18,2025,27,,0.01,May,false
12850,2026-04-12 16:09:23.738529+00,4,4,2025,2216,,0.99,June,false
12851,2026-04-12 16:09:23.738529+00,4,18,2025,22,,0.01,June,false
12852,2026-04-12 16:09:23.738529+00,4,4,2025,2842,,0.99,July,false
12853,2026-04-12 16:09:23.738529+00,4,18,2025,29,,0.01,July,false
12854,2026-04-12 16:09:23.738529+00,4,4,2025,2615,,0.99,August,false
12855,2026-04-12 16:09:23.738529+00,4,18,2025,26,,0.01,August,false
12856,2026-04-12 16:09:23.738529+00,4,4,2025,3354,,0.99,September,false
12857,2026-04-12 16:09:23.738529+00,4,18,2025,34,,0.01,September,false
12858,2026-04-12 16:09:23.738529+00,4,4,2025,2888,,0.99,October,false
12859,2026-04-12 16:09:23.738529+00,4,18,2025,29,,0.01,October,false
12860,2026-04-12 16:09:23.738529+00,4,4,2025,3742,,0.99,November,false
12861,2026-04-12 16:09:23.738529+00,4,18,2025,38,,0.01,November,false
12862,2026-04-12 16:09:23.738529+00,4,4,2025,4101,,0.99,December,false
12863,2026-04-12 16:09:23.738529+00,4,18,2025,41,,0.01,December,false
12864,2026-04-12 16:09:23.738529+00,7,24,2025,3361,,1,January,false
12865,2026-04-12 16:09:23.738529+00,7,24,2025,3966,,1,February,false
12866,2026-04-12 16:09:23.738529+00,7,24,2025,4358,,1,March,false
12867,2026-04-12 16:09:23.738529+00,7,24,2025,3222,,1,April,false
12868,2026-04-12 16:09:23.738529+00,7,24,2025,3336,,1,May,false
12870,2026-04-12 16:09:23.738529+00,7,24,2025,2808,,1,July,false
12871,2026-04-12 16:09:23.738529+00,7,24,2025,4038,,1,August,false
12872,2026-04-12 16:09:23.738529+00,7,24,2025,4269,,1,September,false
12873,2026-04-12 16:09:23.738529+00,7,24,2025,3334,,1,October,false
12874,2026-04-12 16:09:23.738529+00,7,24,2025,4744,,1,November,false
12875,2026-04-12 16:09:23.738529+00,7,24,2025,4334,,1,December,false
12876,2026-04-12 16:09:23.738529+00,1,14,2025,5776,,1,February,false
12877,2026-04-12 16:09:23.738529+00,1,14,2025,5524,,1,March,false
12878,2026-04-12 16:09:23.738529+00,1,14,2025,4157,,1,April,false
12879,2026-04-12 16:09:23.738529+00,1,14,2025,4437,,1,May,false
12880,2026-04-12 16:09:23.738529+00,1,14,2025,5207,,1,June,false
12881,2026-04-12 16:09:23.738529+00,1,14,2025,4637,,1,July,false
12882,2026-04-12 16:09:23.738529+00,1,14,2025,6834,,1,August,false
12883,2026-04-12 16:09:23.738529+00,1,14,2025,7447,,1,September,false
12884,2026-04-12 16:09:23.738529+00,1,14,2025,7198,,1,October,false
12885,2026-04-12 16:09:23.738529+00,1,14,2025,8502,,1,November,false
12886,2026-04-12 16:09:23.738529+00,1,14,2025,6696,,1,December,false
12887,2026-04-12 16:09:23.738529+00,13,21,2025,286,,0.2,January,false
12888,2026-04-12 16:09:23.738529+00,13,18,2025,1144,,0.8,January,false
12889,2026-04-12 16:09:23.738529+00,13,21,2025,66,,0.2,May,false
12890,2026-04-12 16:09:23.738529+00,13,18,2025,265,,0.8,May,false
12891,2026-04-12 16:09:23.738529+00,13,21,2025,301,,0.2,June,false
12892,2026-04-12 16:09:23.738529+00,13,18,2025,1204,,0.8,June,false
12893,2026-04-12 16:09:23.738529+00,13,21,2025,301,,0.2,August,false
12894,2026-04-12 16:09:23.738529+00,13,18,2025,1204,,0.8,August,false
12895,2026-04-12 16:09:23.738529+00,13,21,2025,162,,0.2,October,false
12896,2026-04-12 16:09:23.738529+00,13,18,2025,648,,0.8,October,false
12897,2026-04-12 16:09:23.738529+00,11,16,2025,221,,0.1,January,false
12898,2026-04-12 16:09:23.738529+00,11,3,2025,332,,0.15,January,false
12899,2026-04-12 16:09:23.738529+00,11,11,2025,111,,0.05,January,false
12900,2026-04-12 16:09:23.738529+00,11,13,2025,332,,0.15,January,false
12901,2026-04-12 16:09:23.738529+00,11,12,2025,995,,0.45,January,false
12902,2026-04-12 16:09:23.738529+00,11,29,2025,66,,0.03,January,false
12903,2026-04-12 16:09:23.738529+00,11,14,2025,88,,0.04,January,false
12904,2026-04-12 16:09:23.738529+00,11,20,2025,22,,0.01,January,false
12905,2026-04-12 16:09:23.738529+00,11,28,2025,44,,0.02,January,false
12906,2026-04-12 16:09:23.738529+00,11,16,2025,137,,0.1,February,false
12907,2026-04-12 16:09:23.738529+00,11,3,2025,205,,0.15,February,false
12908,2026-04-12 16:09:23.738529+00,11,11,2025,68,,0.05,February,false
12909,2026-04-12 16:09:23.738529+00,11,13,2025,205,,0.15,February,false
12910,2026-04-12 16:09:23.738529+00,11,12,2025,615,,0.45,February,false
12911,2026-04-12 16:09:23.738529+00,11,29,2025,41,,0.03,February,false
12912,2026-04-12 16:09:23.738529+00,11,14,2025,55,,0.04,February,false
12913,2026-04-12 16:09:23.738529+00,11,20,2025,14,,0.01,February,false
12914,2026-04-12 16:09:23.738529+00,11,28,2025,27,,0.02,February,false
12915,2026-04-12 16:09:23.738529+00,11,16,2025,200,,0.1,May,false
12916,2026-04-12 16:09:23.738529+00,11,3,2025,300,,0.15,May,false
12917,2026-04-12 16:09:23.738529+00,11,11,2025,100,,0.05,May,false
12918,2026-04-12 16:09:23.738529+00,11,13,2025,300,,0.15,May,false
12919,2026-04-12 16:09:23.738529+00,11,12,2025,900,,0.45,May,false
12920,2026-04-12 16:09:23.738529+00,11,29,2025,60,,0.03,May,false
12921,2026-04-12 16:09:23.738529+00,11,14,2025,80,,0.04,May,false
12922,2026-04-12 16:09:23.738529+00,11,20,2025,20,,0.01,May,false
12923,2026-04-12 16:09:23.738529+00,11,28,2025,40,,0.02,May,false
12924,2026-04-12 16:09:23.738529+00,11,16,2025,150,,0.1,June,false
12925,2026-04-12 16:09:23.738529+00,11,3,2025,225,,0.15,June,false
12926,2026-04-12 16:09:23.738529+00,11,11,2025,75,,0.05,June,false
12927,2026-04-12 16:09:23.738529+00,11,13,2025,225,,0.15,June,false
12928,2026-04-12 16:09:23.738529+00,11,12,2025,675,,0.45,June,false
12929,2026-04-12 16:09:23.738529+00,11,29,2025,45,,0.03,June,false
12930,2026-04-12 16:09:23.738529+00,11,14,2025,60,,0.04,June,false
12931,2026-04-12 16:09:23.738529+00,11,20,2025,15,,0.01,June,false
12932,2026-04-12 16:09:23.738529+00,11,28,2025,30,,0.02,June,false
12933,2026-04-12 16:09:23.738529+00,11,16,2025,108,,0.1,July,false
12934,2026-04-12 16:09:23.738529+00,11,3,2025,163,,0.15,July,false
12935,2026-04-12 16:09:23.738529+00,11,11,2025,54,,0.05,July,false
12936,2026-04-12 16:09:23.738529+00,11,13,2025,163,,0.15,July,false
12937,2026-04-12 16:09:23.738529+00,11,12,2025,488,,0.45,July,false
12938,2026-04-12 16:09:23.738529+00,11,29,2025,33,,0.03,July,false
12939,2026-04-12 16:09:23.738529+00,11,14,2025,43,,0.04,July,false
12940,2026-04-12 16:09:23.738529+00,11,20,2025,11,,0.01,July,false
12941,2026-04-12 16:09:23.738529+00,11,28,2025,22,,0.02,July,false
12942,2026-04-12 16:09:23.738529+00,11,16,2025,140,,0.1,August,false
12943,2026-04-12 16:09:23.738529+00,11,3,2025,209,,0.15,August,false
12944,2026-04-12 16:09:23.738529+00,11,11,2025,70,,0.05,August,false
12945,2026-04-12 16:09:23.738529+00,11,13,2025,209,,0.15,August,false
12946,2026-04-12 16:09:23.738529+00,11,12,2025,628,,0.45,August,false
12947,2026-04-12 16:09:23.738529+00,11,29,2025,42,,0.03,August,false
12948,2026-04-12 16:09:23.738529+00,11,14,2025,56,,0.04,August,false
12949,2026-04-12 16:09:23.738529+00,11,20,2025,14,,0.01,August,false
12950,2026-04-12 16:09:23.738529+00,11,28,2025,28,,0.02,August,false
12951,2026-04-12 16:09:23.738529+00,5,1,2025,912,,0.23,February,false
12952,2026-04-12 16:09:23.738529+00,5,3,2025,2181,,0.55,February,false
12953,2026-04-12 16:09:23.738529+00,5,27,2025,119,,0.03,February,false
12954,2026-04-12 16:09:23.738529+00,5,10,2025,119,,0.03,February,false
12955,2026-04-12 16:09:23.738529+00,5,2,2025,198,,0.05,February,false
12956,2026-04-12 16:09:23.738529+00,5,5,2025,79,,0.02,February,false
12957,2026-04-12 16:09:23.738529+00,5,15,2025,79,,0.02,February,false
12958,2026-04-12 16:09:23.738529+00,5,28,2025,40,,0.01,February,false
12959,2026-04-12 16:09:23.738529+00,5,29,2025,79,,0.02,February,false
12960,2026-04-12 16:09:23.738529+00,5,30,2025,79,,0.02,February,false
12961,2026-04-12 16:09:23.738529+00,5,31,2025,79,,0.02,February,false
12962,2026-04-12 16:09:23.738529+00,5,1,2025,679,,0.23,March,false
12963,2026-04-12 16:09:23.738529+00,5,3,2025,1624,,0.55,March,false
12964,2026-04-12 16:09:23.738529+00,5,27,2025,89,,0.03,March,false
12965,2026-04-12 16:09:23.738529+00,5,10,2025,89,,0.03,March,false
12966,2026-04-12 16:09:23.738529+00,5,2,2025,148,,0.05,March,false
12967,2026-04-12 16:09:23.738529+00,5,5,2025,59,,0.02,March,false
12968,2026-04-12 16:09:23.738529+00,5,15,2025,59,,0.02,March,false
12969,2026-04-12 16:09:23.738529+00,5,28,2025,30,,0.01,March,false
12970,2026-04-12 16:09:23.738529+00,5,29,2025,59,,0.02,March,false
12971,2026-04-12 16:09:23.738529+00,5,30,2025,59,,0.02,March,false
12972,2026-04-12 16:09:23.738529+00,5,31,2025,59,,0.02,March,false
