year,month,partner_id,Partner Name,Total Num Diapers,City,city_id,percentage,number_diapers
2025,March,4,Lexington Food Pantry,2720,Lexington,4,0.99,2693
2025,March,4,Lexington Food Pantry,2720,Woburn,18,0.01,27
2025,April,4,Lexington Food Pantry,5120,Lexington,4,0.99,5069
2025,April,4,Lexington Food Pantry,5120,Woburn,18,0.01,51
2025,May,4,Lexington Food Pantry,2687,Lexington,4,0.99,2660
2025,May,4,Lexington Food Pantry,2687,Woburn,18,0.01,27
2025,June,4,Lexington Food Pantry,2238,Lexington,4,0.99,2216
2025,June,4,Lexington Food Pantry,2238,Woburn,18,0.01,22
2025,July,4,Lexington Food Pantry,2871,Lexington,4,0.99,2842
2025,July,4,Lexington Food Pantry,2871,Woburn,18,0.01,29
2025,August,4,Lexington Food Pantry,2641,Lexington,4,0.99,2615
2025,August,4,Lexington Food Pantry,2641,Woburn,18,0.01,26
2025,September,4,Lexington Food Pantry,3388,Lexington,4,0.99,3354
2025,September,4,Lexington Food Pantry,3388,Woburn,18,0.01,34
2025,October,4,Lexington Food Pantry,2917,Lexington,4,0.99,2888
2025,October,4,Lexington Food Pantry,2917,Woburn,18,0.01,29
2025,November,4,Lexington Food Pantry,3780,Lexington,4,0.99,3742
2025,November,4,Lexington Food Pantry,3780,Woburn,18,0.01,38
2025,December,4,Lexington Food Pantry,4142,Lexington,4,0.99,4101
2025,December,4,Lexington Food Pantry,4142,Woburn,18,0.01,41
2025,January,7,People Helping People- Burlington Food Pantry,3361,Burlington,24,1,3361
2025,February,7,People Helping People- Burlington Food Pantry,3966,Burlington,24,1,3966
2025,March,7,People Helping People- Burlington Food Pantry,4358,Burlington,24,1,4358
2025,April,7,People Helping People- Burlington Food Pantry,3222,Burlington,24,1,3222
2025,May,7,People Helping People- Burlington Food Pantry,3336,Burlington,24,1,3336
2025,June,7,People Helping People- Burlington Food Pantry,3145,Burlington,24,1,3145
2025,July,7,People Helping People- Burlington Food Pantry,2808,Burlington,24,1,2808
2025,August,7,People Helping People- Burlington Food Pantry,4038,Burlington,24,1,4038
2025,September,7,People Helping People- Burlington Food Pantry,4269,Burlington,24,1,4269
2025,October,7,People Helping People- Burlington Food Pantry,3334,Burlington,24,1,3334
2025,November,7,People Helping People- Burlington Food Pantry,4744,Burlington,24,1,4744
2025,December,7,People Helping People- Burlington Food Pantry,4380,Burlington,24,1,4380
2025,February,1,Arlington EATS,5776,Arlington,14,1,5776
2025,March,1,Arlington EATS,5524,Arlington,14,1,5524
2025,April,1,Arlington EATS,4157,Arlington,14,1,4157
2025,May,1,Arlington EATS,4437,Arlington,14,1,4437
2025,June,1,Arlington EATS,5207,Arlington,14,1,5207
2025,July,1,Arlington EATS,4637,Arlington,14,1,4637
2025,August,1,Arlington EATS,6834,Arlington,14,1,6834
2025,September,1,Arlington EATS,7447,Arlington,14,1,7447
2025,October,1,Arlington EATS,7198,Arlington,14,1,7198
2025,November,1,Arlington EATS,8827,Arlington,14,1,8827
2025,December,1,Arlington EATS,6696,Arlington,14,1,6696
2025,January,13,Woburn Council of Social Concern,1430,Winchester,21,0.2,286
2025,January,13,Woburn Council of Social Concern,1430,Woburn,18,0.8,1144
2025,May,13,Woburn Council of Social Concern,331,Winchester,21,0.2,66
2025,May,13,Woburn Council of Social Concern,331,Woburn,18,0.8,265
2025,June,13,Woburn Council of Social Concern,1505,Winchester,21,0.2,301
2025,June,13,Woburn Council of Social Concern,1505,Woburn,18,0.8,1204
2025,August,13,Woburn Council of Social Concern,1505,Winchester,21,0.2,301
2025,August,13,Woburn Council of Social Concern,1505,Woburn,18,0.8,1204
2025,October,13,Woburn Council of Social Concern,810,Winchester,21,0.2,162
2025,October,13,Woburn Council of Social Concern,810,Woburn,18,0.8,648
2025,January,11,Watertown Food Pantry,2212,Belmont,16,0.1,221
2025,January,11,Watertown Food Pantry,2212,Cambridge,3,0.15,332
2025,January,11,Watertown Food Pantry,2212,Newton,11,0.05,111
2025,January,11,Watertown Food Pantry,2212,Waltham,13,0.15,332
2025,January,11,Watertown Food Pantry,2212,Watertown,12,0.45,995
2025,January,11,Watertown Food Pantry,2212,Brighton,29,0.03,66
2025,January,11,Watertown Food Pantry,2212,Arlington,14,0.04,88
2025,January,11,Watertown Food Pantry,2212,Needham,20,0.01,22
2025,January,11,Watertown Food Pantry,2212,Allston,28,0.02,44
2025,February,11,Watertown Food Pantry,1366,Belmont,16,0.1,137
2025,February,11,Watertown Food Pantry,1366,Cambridge,3,0.15,205
2025,February,11,Watertown Food Pantry,1366,Newton,11,0.05,68
2025,February,11,Watertown Food Pantry,1366,Waltham,13,0.15,205
2025,February,11,Watertown Food Pantry,1366,Watertown,12,0.45,615
2025,February,11,Watertown Food Pantry,1366,Brighton,29,0.03,41
2025,February,11,Watertown Food Pantry,1366,Arlington,14,0.04,55
2025,February,11,Watertown Food Pantry,1366,Needham,20,0.01,14
2025,February,11,Watertown Food Pantry,1366,Allston,28,0.02,27
2025,May,11,Watertown Food Pantry,2001,Belmont,16,0.1,200
2025,May,11,Watertown Food Pantry,2001,Cambridge,3,0.15,300
2025,May,11,Watertown Food Pantry,2001,Newton,11,0.05,100
2025,May,11,Watertown Food Pantry,2001,Waltham,13,0.15,300
2025,May,11,Watertown Food Pantry,2001,Watertown,12,0.45,900
2025,May,11,Watertown Food Pantry,2001,Brighton,29,0.03,60
2025,May,11,Watertown Food Pantry,2001,Arlington,14,0.04,80
2025,May,11,Watertown Food Pantry,2001,Needham,20,0.01,20
2025,May,11,Watertown Food Pantry,2001,Allston,28,0.02,40
2025,June,11,Watertown Food Pantry,1500,Belmont,16,0.1,150
2025,June,11,Watertown Food Pantry,1500,Cambridge,3,0.15,225
2025,June,11,Watertown Food Pantry,1500,Newton,11,0.05,75
2025,June,11,Watertown Food Pantry,1500,Waltham,13,0.15,225
2025,June,11,Watertown Food Pantry,1500,Watertown,12,0.45,675
2025,June,11,Watertown Food Pantry,1500,Brighton,29,0.03,45
2025,June,11,Watertown Food Pantry,1500,Arlington,14,0.04,60
2025,June,11,Watertown Food Pantry,1500,Needham,20,0.01,15
2025,June,11,Watertown Food Pantry,1500,Allston,28,0.02,30
2025,July,11,Watertown Food Pantry,1084,Belmont,16,0.1,108
2025,July,11,Watertown Food Pantry,1084,Cambridge,3,0.15,163
2025,July,11,Watertown Food Pantry,1084,Newton,11,0.05,54
2025,July,11,Watertown Food Pantry,1084,Waltham,13,0.15,163
2025,July,11,Watertown Food Pantry,1084,Watertown,12,0.45,488
2025,July,11,Watertown Food Pantry,1084,Brighton,29,0.03,33
2025,July,11,Watertown Food Pantry,1084,Arlington,14,0.04,43
2025,July,11,Watertown Food Pantry,1084,Needham,20,0.01,11
2025,July,11,Watertown Food Pantry,1084,Allston,28,0.02,22
2025,August,11,Watertown Food Pantry,1395,Belmont,16,0.1,140
2025,August,11,Watertown Food Pantry,1395,Cambridge,3,0.15,209
2025,August,11,Watertown Food Pantry,1395,Newton,11,0.05,70
2025,August,11,Watertown Food Pantry,1395,Waltham,13,0.15,209
2025,August,11,Watertown Food Pantry,1395,Watertown,12,0.45,628
2025,August,11,Watertown Food Pantry,1395,Brighton,29,0.03,42
2025,August,11,Watertown Food Pantry,1395,Arlington,14,0.04,56
2025,August,11,Watertown Food Pantry,1395,Needham,20,0.01,14
2025,August,11,Watertown Food Pantry,1395,Allston,28,0.02,28
2025,February,5,Margaret Fuller Neighborhood House,3966,Boston,1,0.23,912
2025,February,5,Margaret Fuller Neighborhood House,3966,Cambridge,3,0.55,2181
2025,February,5,Margaret Fuller Neighborhood House,3966,Dorchester,27,0.03,119
2025,February,5,Margaret Fuller Neighborhood House,3966,Malden,10,0.03,119
2025,February,5,Margaret Fuller Neighborhood House,3966,Somerville,2,0.05,198
2025,February,5,Margaret Fuller Neighborhood House,3966,Quincy,5,0.02,79
2025,February,5,Margaret Fuller Neighborhood House,3966,Revere,15,0.02,79
2025,February,5,Margaret Fuller Neighborhood House,3966,Allston,28,0.01,40
2025,February,5,Margaret Fuller Neighborhood House,3966,Brighton,29,0.02,79
2025,February,5,Margaret Fuller Neighborhood House,3966,Mattapan,30,0.02,79
2025,February,5,Margaret Fuller Neighborhood House,3966,Charlestown,31,0.02,79
2025,March,5,Margaret Fuller Neighborhood House,2953,Boston,1,0.23,679
2025,March,5,Margaret Fuller Neighborhood House,2953,Cambridge,3,0.55,1624
2025,March,5,Margaret Fuller Neighborhood House,2953,Dorchester,27,0.03,89
2025,March,5,Margaret Fuller Neighborhood House,2953,Malden,10,0.03,89
2025,March,5,Margaret Fuller Neighborhood House,2953,Somerville,2,0.05,148
2025,March,5,Margaret Fuller Neighborhood House,2953,Quincy,5,0.02,59
2025,March,5,Margaret Fuller Neighborhood House,2953,Revere,15,0.02,59
2025,March,5,Margaret Fuller Neighborhood House,2953,Allston,28,0.01,30
2025,March,5,Margaret Fuller Neighborhood House,2953,Brighton,29,0.02,59
2025,March,5,Margaret Fuller Neighborhood House,2953,Mattapan,30,0.02,59
2025,March,5,Margaret Fuller Neighborhood House,2953,Charlestown,31,0.02,59
2025,May,5,Margaret Fuller Neighborhood House,1729,Boston,1,0.23,398
2025,May,5,Margaret Fuller Neighborhood House,1729,Cambridge,3,0.55,951
2025,May,5,Margaret Fuller Neighborhood House,1729,Dorchester,27,0.03,52
2025,May,5,Margaret Fuller Neighborhood House,1729,Malden,10,0.03,52
2025,May,5,Margaret Fuller Neighborhood House,1729,Somerville,2,0.05,86
2025,May,5,Margaret Fuller Neighborhood House,1729,Quincy,5,0.02,35
2025,May,5,Margaret Fuller Neighborhood House,1729,Revere,15,0.02,35
2025,May,5,Margaret Fuller Neighborhood House,1729,Allston,28,0.01,17
2025,May,5,Margaret Fuller Neighborhood House,1729,Brighton,29,0.02,35
2025,May,5,Margaret Fuller Neighborhood House,1729,Mattapan,30,0.02,35
2025,May,5,Margaret Fuller Neighborhood House,1729,Charlestown,31,0.02,35
2025,June,5,Margaret Fuller Neighborhood House,1679,Boston,1,0.23,386
2025,June,5,Margaret Fuller Neighborhood House,1679,Cambridge,3,0.55,923
2025,June,5,Margaret Fuller Neighborhood House,1679,Dorchester,27,0.03,50
2025,June,5,Margaret Fuller Neighborhood House,1679,Malden,10,0.03,50
2025,June,5,Margaret Fuller Neighborhood House,1679,Somerville,2,0.05,84
2025,June,5,Margaret Fuller Neighborhood House,1679,Quincy,5,0.02,34
2025,June,5,Margaret Fuller Neighborhood House,1679,Revere,15,0.02,34
2025,June,5,Margaret Fuller Neighborhood House,1679,Allston,28,0.01,17
2025,June,5,Margaret Fuller Neighborhood House,1679,Brighton,29,0.02,34
2025,June,5,Margaret Fuller Neighborhood House,1679,Mattapan,30,0.02,34
